# summary of local and remote events executed
# LP, local, remote, total
Airport_111, 47, 12, 59
Airport_735, 47, 9, 56
Airport_112, 51, 12, 63
Airport_736, 49, 8, 57
Airport_113, 52, 16, 68
Airport_737, 47, 10, 57
Airport_114, 43, 11, 54
Airport_738, 50, 15, 65
Airport_115, 46, 10, 56
Airport_739, 47, 11, 58
Airport_116, 49, 11, 60
Airport_740, 46, 9, 55
Airport_117, 44, 12, 56
Airport_741, 54, 14, 68
Airport_118, 54, 18, 72
Airport_742, 52, 13, 65
Airport_119, 47, 20, 67
Airport_743, 50, 13, 63
Airport_120, 48, 15, 63
Airport_744, 46, 5, 51
Airport_121, 55, 13, 68
Airport_745, 50, 12, 62
Airport_122, 45, 10, 55
Airport_746, 50, 14, 64
Airport_123, 48, 11, 59
Airport_1984, 44, 10, 54
Airport_747, 48, 14, 62
Airport_1985, 49, 13, 62
Airport_124, 51, 15, 66
Airport_748, 50, 11, 61
Airport_1351, 50, 9, 59
Airport_1986, 51, 19, 70
Airport_749, 45, 11, 56
Airport_125, 51, 16, 67
Airport_1352, 53, 14, 67
Airport_1987, 45, 12, 57
Airport_750, 53, 15, 68
Airport_126, 52, 23, 75
Airport_1353, 49, 9, 58
Airport_1988, 49, 8, 57
Airport_751, 49, 10, 59
Airport_127, 47, 11, 58
Airport_1354, 52, 13, 65
Airport_1989, 55, 13, 68
Airport_752, 52, 16, 68
Airport_128, 52, 12, 64
Airport_1355, 53, 13, 66
Airport_1990, 54, 15, 69
Airport_753, 51, 15, 66
Airport_129, 49, 6, 55
Airport_1356, 50, 13, 63
Airport_1991, 49, 10, 59
Airport_754, 50, 10, 60
Airport_130, 49, 14, 63
Airport_1357, 46, 8, 54
Airport_1992, 49, 10, 59
Airport_755, 48, 17, 65
Airport_131, 51, 13, 64
Airport_1993, 47, 7, 54
Airport_1358, 49, 11, 60
Airport_132, 51, 13, 64
Airport_1359, 49, 10, 59
Airport_756, 51, 11, 62
Airport_1360, 49, 11, 60
Airport_1994, 42, 15, 57
Airport_1361, 46, 12, 58
Airport_133, 50, 3, 53
Airport_757, 44, 15, 59
Airport_1362, 52, 12, 64
Airport_758, 46, 10, 56
Airport_759, 52, 16, 68
Airport_1363, 50, 14, 64
Airport_760, 48, 16, 64
Airport_1364, 48, 11, 59
Airport_761, 50, 10, 60
Airport_1365, 54, 14, 68
Airport_762, 55, 18, 73
Airport_1366, 55, 24, 79
Airport_763, 44, 15, 59
Airport_1367, 47, 13, 60
Airport_764, 47, 15, 62
Airport_1368, 52, 13, 65
Airport_765, 46, 10, 56
Airport_1369, 48, 11, 59
Airport_766, 51, 16, 67
Airport_1370, 48, 13, 61
Airport_767, 48, 13, 61
Airport_1371, 45, 7, 52
Airport_768, 48, 10, 58
Airport_1372, 55, 13, 68
Airport_769, 54, 14, 68
Airport_1373, 56, 19, 75
Airport_770, 47, 10, 57
Airport_1374, 50, 11, 61
Airport_771, 48, 11, 59
Airport_1375, 50, 15, 65
Airport_772, 44, 10, 54
Airport_1376, 46, 8, 54
Airport_773, 47, 13, 60
Airport_1377, 44, 8, 52
Airport_774, 50, 19, 69
Airport_1378, 53, 14, 67
Airport_775, 46, 5, 51
Airport_1379, 46, 10, 56
Airport_776, 44, 10, 54
Airport_1380, 47, 21, 68
Airport_777, 53, 18, 71
Airport_1381, 52, 13, 65
Airport_778, 49, 12, 61
Airport_1382, 52, 16, 68
Airport_779, 50, 10, 60
Airport_1383, 47, 10, 57
Airport_780, 48, 11, 59
Airport_1384, 48, 11, 59
Airport_781, 51, 15, 66
Airport_1385, 51, 11, 62
Airport_782, 50, 15, 65
Airport_1386, 51, 12, 63
Airport_783, 47, 12, 59
Airport_1387, 50, 19, 69
Airport_784, 55, 11, 66
Airport_1388, 43, 11, 54
Airport_785, 52, 10, 62
Airport_1389, 50, 16, 66
Airport_786, 51, 14, 65
Airport_1390, 51, 15, 66
Airport_787, 47, 12, 59
Airport_1391, 48, 9, 57
Airport_788, 47, 8, 55
Airport_1392, 46, 10, 56
Airport_789, 50, 18, 68
Airport_1393, 41, 9, 50
Airport_790, 44, 7, 51
Airport_1394, 56, 14, 70
Airport_1395, 44, 14, 58
Airport_791, 45, 12, 57
Airport_1396, 45, 10, 55
Airport_792, 47, 10, 57
Airport_1397, 55, 16, 71
Airport_793, 49, 10, 59
Airport_134, 48, 13, 61
Airport_794, 57, 15, 72
Airport_1398, 52, 15, 67
Airport_1995, 47, 7, 54
Airport_135, 43, 5, 48
Airport_795, 48, 15, 63
Airport_796, 54, 14, 68
Airport_797, 50, 12, 62
Airport_798, 48, 11, 59
Airport_799, 43, 14, 57
Airport_800, 50, 9, 59
Airport_801, 55, 21, 76
Airport_802, 54, 13, 67
Airport_803, 54, 13, 67
Airport_804, 48, 8, 56
Airport_805, 49, 12, 61
Airport_806, 50, 8, 58
Airport_807, 47, 9, 56
Airport_808, 50, 16, 66
Airport_809, 48, 12, 60
Airport_810, 44, 10, 54
Airport_811, 49, 12, 61
Airport_812, 49, 15, 64
Airport_813, 47, 15, 62
Airport_814, 54, 14, 68
Airport_1399, 53, 14, 67
Airport_1996, 50, 13, 63
Airport_815, 53, 12, 65
Airport_1400, 50, 7, 57
Airport_1997, 50, 14, 64
Airport_816, 46, 20, 66
Airport_1401, 47, 7, 54
Airport_1998, 46, 12, 58
Airport_817, 51, 13, 64
Airport_1402, 51, 8, 59
Airport_1999, 45, 6, 51
Airport_818, 52, 21, 73
Airport_1403, 48, 12, 60
Airport_2000, 52, 13, 65
Airport_136, 49, 17, 66
Airport_819, 49, 10, 59
Airport_1404, 53, 15, 68
Airport_2001, 49, 12, 61
Airport_137, 45, 9, 54
Airport_820, 50, 12, 62
Airport_1405, 49, 7, 56
Airport_2002, 49, 15, 64
Airport_138, 47, 17, 64
Airport_821, 45, 12, 57
Airport_1406, 51, 15, 66
Airport_2003, 47, 14, 61
Airport_139, 45, 9, 54
Airport_822, 48, 14, 62
Airport_1407, 51, 8, 59
Airport_2004, 51, 14, 65
Airport_140, 55, 17, 72
Airport_823, 50, 13, 63
Airport_1408, 48, 10, 58
Airport_2005, 53, 15, 68
Airport_141, 51, 11, 62
Airport_824, 48, 17, 65
Airport_1409, 41, 7, 48
Airport_2006, 47, 13, 60
Airport_142, 47, 12, 59
Airport_825, 51, 12, 63
Airport_1410, 46, 14, 60
Airport_2007, 43, 9, 52
Airport_143, 49, 8, 57
Airport_826, 56, 18, 74
Airport_1411, 48, 14, 62
Airport_2008, 49, 10, 59
Airport_144, 44, 14, 58
Airport_827, 49, 12, 61
Airport_1412, 58, 18, 76
Airport_2009, 53, 16, 69
Airport_145, 55, 16, 71
Airport_828, 48, 7, 55
Airport_1413, 45, 6, 51
Airport_2010, 55, 14, 69
Airport_146, 44, 9, 53
Airport_829, 49, 11, 60
Airport_1414, 50, 13, 63
Airport_2011, 55, 17, 72
Airport_147, 51, 15, 66
Airport_830, 54, 10, 64
Airport_1415, 44, 11, 55
Airport_2012, 49, 17, 66
Airport_148, 41, 11, 52
Airport_831, 52, 14, 66
Airport_1416, 46, 16, 62
Airport_2013, 50, 12, 62
Airport_149, 52, 14, 66
Airport_832, 55, 15, 70
Airport_1417, 42, 10, 52
Airport_2014, 39, 8, 47
Airport_150, 50, 12, 62
Airport_1418, 54, 14, 68
Airport_833, 49, 10, 59
Airport_2015, 52, 16, 68
Airport_151, 54, 14, 68
Airport_1419, 41, 10, 51
Airport_834, 50, 18, 68
Airport_2016, 53, 19, 72
Airport_152, 54, 15, 69
Airport_1420, 52, 14, 66
Airport_835, 47, 14, 61
Airport_2017, 60, 21, 81
Airport_153, 51, 11, 62
Airport_1421, 43, 14, 57
Airport_836, 48, 10, 58
Airport_2018, 49, 12, 61
Airport_154, 53, 20, 73
Airport_1422, 47, 10, 57
Airport_837, 46, 11, 57
Airport_2019, 47, 7, 54
Airport_155, 51, 13, 64
Airport_1423, 47, 16, 63
Airport_838, 43, 10, 53
Airport_2020, 49, 16, 65
Airport_156, 51, 17, 68
Airport_1424, 51, 12, 63
Airport_839, 49, 6, 55
Airport_2021, 47, 11, 58
Airport_157, 51, 11, 62
Airport_1425, 48, 16, 64
Airport_840, 44, 15, 59
Airport_2022, 46, 11, 57
Airport_158, 54, 13, 67
Airport_1426, 51, 16, 67
Airport_841, 51, 14, 65
Airport_2023, 49, 13, 62
Airport_159, 47, 13, 60
Airport_1427, 44, 7, 51
Airport_842, 53, 12, 65
Airport_2024, 52, 20, 72
Airport_160, 53, 13, 66
Airport_1428, 46, 7, 53
Airport_843, 49, 11, 60
Airport_2025, 52, 12, 64
Airport_161, 54, 16, 70
Airport_1429, 42, 10, 52
Airport_844, 49, 10, 59
Airport_2026, 50, 15, 65
Airport_162, 52, 16, 68
Airport_1430, 52, 16, 68
Airport_845, 51, 13, 64
Airport_2027, 51, 8, 59
Airport_163, 45, 11, 56
Airport_1431, 52, 16, 68
Airport_846, 50, 18, 68
Airport_2028, 51, 14, 65
Airport_164, 43, 11, 54
Airport_1432, 50, 14, 64
Airport_847, 53, 14, 67
Airport_2029, 49, 11, 60
Airport_165, 49, 16, 65
Airport_1433, 50, 12, 62
Airport_848, 53, 18, 71
Airport_2030, 54, 18, 72
Airport_166, 53, 13, 66
Airport_1434, 50, 8, 58
Airport_849, 46, 9, 55
Airport_2031, 53, 15, 68
Airport_167, 45, 10, 55
Airport_1435, 51, 14, 65
Airport_850, 46, 11, 57
Airport_2032, 48, 17, 65
Airport_168, 48, 13, 61
Airport_1436, 41, 8, 49
Airport_851, 51, 14, 65
Airport_2033, 47, 11, 58
Airport_169, 50, 7, 57
Airport_1437, 49, 18, 67
Airport_852, 56, 18, 74
Airport_2034, 49, 13, 62
Airport_170, 50, 12, 62
Airport_1438, 50, 12, 62
Airport_853, 53, 18, 71
Airport_2035, 51, 12, 63
Airport_171, 49, 5, 54
Airport_1439, 43, 8, 51
Airport_854, 48, 14, 62
Airport_2036, 54, 14, 68
Airport_172, 47, 7, 54
Airport_1440, 45, 5, 50
Airport_855, 53, 14, 67
Airport_2037, 51, 14, 65
Airport_173, 49, 10, 59
Airport_1441, 51, 15, 66
Airport_856, 52, 14, 66
Airport_2038, 51, 16, 67
Airport_174, 50, 15, 65
Airport_1442, 47, 12, 59
Airport_857, 52, 13, 65
Airport_2039, 50, 7, 57
Airport_175, 46, 8, 54
Airport_1443, 55, 15, 70
Airport_858, 51, 14, 65
Airport_2040, 52, 13, 65
Airport_176, 46, 16, 62
Airport_1444, 54, 16, 70
Airport_859, 43, 11, 54
Airport_2041, 51, 13, 64
Airport_177, 45, 8, 53
Airport_1445, 48, 14, 62
Airport_860, 48, 8, 56
Airport_2042, 53, 14, 67
Airport_178, 47, 10, 57
Airport_1446, 49, 9, 58
Airport_861, 51, 12, 63
Airport_2043, 50, 10, 60
Airport_179, 48, 18, 66
Airport_1447, 52, 15, 67
Airport_862, 50, 12, 62
Airport_2044, 51, 9, 60
Airport_180, 47, 11, 58
Airport_2045, 50, 8, 58
Airport_1448, 46, 9, 55
Airport_181, 46, 10, 56
Airport_863, 51, 8, 59
Airport_2046, 48, 13, 61
Airport_1449, 52, 14, 66
Airport_182, 48, 8, 56
Airport_864, 42, 8, 50
Airport_2047, 49, 13, 62
Airport_1450, 56, 16, 72
Airport_183, 48, 16, 64
Airport_865, 47, 15, 62
Airport_2048, 53, 17, 70
Airport_1451, 42, 12, 54
Airport_184, 53, 14, 67
Airport_866, 43, 7, 50
Airport_2049, 46, 19, 65
Airport_1452, 48, 18, 66
Airport_185, 51, 13, 64
Airport_186, 48, 12, 60
Airport_187, 48, 10, 58
Airport_188, 50, 19, 69
Airport_189, 47, 8, 55
Airport_190, 47, 13, 60
Airport_191, 46, 9, 55
Airport_192, 48, 10, 58
Airport_193, 52, 13, 65
Airport_194, 52, 13, 65
Airport_195, 51, 11, 62
Airport_196, 48, 11, 59
Airport_197, 46, 8, 54
Airport_198, 48, 19, 67
Airport_199, 49, 10, 59
Airport_200, 49, 16, 65
Airport_201, 48, 11, 59
Airport_202, 43, 13, 56
Airport_203, 49, 7, 56
Airport_204, 51, 13, 64
Airport_867, 48, 14, 62
Airport_2050, 47, 13, 60
Airport_205, 49, 10, 59
Airport_868, 50, 15, 65
Airport_2051, 51, 13, 64
Airport_206, 48, 11, 59
Airport_2052, 51, 13, 64
Airport_207, 48, 12, 60
Airport_869, 49, 10, 59
Airport_208, 49, 10, 59
Airport_2053, 49, 13, 62
Airport_1453, 51, 13, 64
Airport_209, 47, 9, 56
Airport_870, 48, 11, 59
Airport_2054, 55, 14, 69
Airport_1454, 54, 13, 67
Airport_210, 47, 7, 54
Airport_871, 48, 9, 57
Airport_2055, 53, 18, 71
Airport_1455, 51, 19, 70
Airport_211, 50, 11, 61
Airport_872, 42, 12, 54
Airport_2056, 47, 11, 58
Airport_1456, 46, 7, 53
Airport_212, 49, 13, 62
Airport_873, 51, 14, 65
Airport_2057, 49, 13, 62
Airport_1457, 55, 14, 69
Airport_213, 53, 16, 69
Airport_874, 48, 11, 59
Airport_2058, 52, 12, 64
Airport_1458, 53, 14, 67
Airport_214, 52, 12, 64
Airport_875, 50, 16, 66
Airport_876, 49, 8, 57
Airport_877, 47, 10, 57
Airport_878, 50, 12, 62
Airport_879, 49, 9, 58
Airport_880, 48, 16, 64
Airport_881, 53, 17, 70
Airport_882, 50, 12, 62
Airport_883, 46, 8, 54
Airport_884, 54, 17, 71
Airport_885, 51, 15, 66
Airport_886, 52, 11, 63
Airport_887, 50, 11, 61
Airport_888, 55, 14, 69
Airport_889, 51, 18, 69
Airport_890, 44, 11, 55
Airport_891, 46, 13, 59
Airport_892, 52, 13, 65
Airport_893, 47, 15, 62
Airport_894, 49, 12, 61
Airport_895, 45, 7, 52
Airport_896, 45, 16, 61
Airport_897, 47, 12, 59
Airport_898, 52, 18, 70
Airport_899, 49, 15, 64
Airport_900, 47, 7, 54
Airport_901, 52, 11, 63
Airport_902, 52, 13, 65
Airport_1459, 48, 15, 63
Airport_2059, 52, 14, 66
Airport_903, 47, 7, 54
Airport_1460, 56, 17, 73
Airport_2060, 47, 5, 52
Airport_904, 43, 11, 54
Airport_1461, 50, 11, 61
Airport_2061, 55, 15, 70
Airport_905, 50, 12, 62
Airport_1462, 52, 13, 65
Airport_215, 48, 20, 68
Airport_2062, 54, 18, 72
Airport_906, 53, 14, 67
Airport_1463, 48, 14, 62
